#Star Names list
#Format:
#[NAME], [Avg. Distance in pixels (+/- 50%)]

#Popular, Named Stars:

Proxima Centauri, 120
Alpha Centauri, 150
Acamar, 500
Archernar, 450
Achird, 180
Akrab, 1000
Acrux, 800
Acubens, 600
Adhafera, 750
Adhara, 1200
Ain, 500
Aladfar, 3000
Alamak, 900
Alathfar, 1500
Alaraph, 300
Albaldah, 1300
Albali, 650
Albireo, 800
Alchiba, 400
Alcor, 450
Alcyone, 1100
Aldebaran, 350
Alderamin, 250
Aldhafera, 800
Aldhanab, 750
Aldhibain, 1400
Aldib, 600
Al Fawaris, 700
Alpha Coronae Australis, 500
Alfirk, 1800
Alpha Capricorni, 450
Alpha Persei, 1200
Gamma Pegasi, 1100
Gamma Leonis, 500
Algol, 450
Algorab, 375
Capella, 150
Alhena, 550
Alioth, 200
Alkaid, 400
Al Kurud, 2000
Rho Cephei, 800
Chi Ursae Majoris, 750
Alpha Crateris, 575
Alkurah, 300
Al Minliar al Asad, 750
Alnair, 450
Gamma Sagittarii, 300
Alnilam, 4000
Alnitak, 900
Alniyat, 750
Sigma Scorpii, 1400
Alphard, 700
Alphecca, 175
Alrai, 250
Alrami, 500
Alpha Piscium, 650
Alsafi, 250
31 Lyncis, 1200
Nu Capricorni, 950
Altair, 300
Delta Draconis, 400
Altarf, 850
Lambda Leonis, 1250
Al Thalimain, 400
Aludra, 3500
Alula Australis, 175
Alula Borealis, 1300
Alwaid, 1100
Alya, 500
Alzir, 200
Ancha, 600
Angetenar, 700
Ankaa, 300
Antares, 1800
Arcturus, 150
Gamma Virginus, 250
Arkab, 1000
Arneb, 3500
Arrakis, 800
Ascella, 225
Asellus Australis, 450
Asellus Primus, 300
Asellus Secundus, 450
Asellus Tertius, 600
Askella, 275
Aspidiske, 1600
Asterion, 225
Asterope, 1350
Atik, 1800
Atlas, 1350
Atria, 1400
Auva, 900
Avior, 1500
Azaleh, 2250
Azelfafage, 3500
Eta Eridani, 400
Azmidiske, 2750
Baham, 250
Zeta Ceti, 650
Mimosa, 600
Beid, 450
Bellatrix, 800
Benetnasch, 500
Betelgeuse, 1900
Betria, 400
Theta Pegasi, 600
Delta Arietis, 700
Brachium, 900
Bunda, 700
Canopus, 1000
Caph, 250
Castor, 200
Cebalrai, 325
Celaeno, 1600
Cor Caroli, 400
Chertan, 575
Beta Serpentis, 600
Cursa, 250
Dabih, 1250
Decrux, 1250
Deneb, 4000
Deneb Algedi, 400
Deneb Dulfim, 1250
Deneb el Okab, 350
Deneb Kaitos, 500
Iota Ceti, 850
Denebola, 300
Eta Ceti, 650
Diadem, 500
Diphda, 450
Dnoces, 250
Delta Scorpii, 1150
Dubhe, 450
Zosma, 400
Edasich, 500
Electra, 1800
Alpha Trianguli, 200
Elnath, 600
Enith, 2250
Errai, 375
Etamin, 600
Fomalhaut, 225
Beta Piscium, 2000
Furud, 1500
Gacrux, 350
Garnet Star, 8000
Gatria, 725
Alpha Coronae Borealis, 350
Gianfar, 1320
Gamma Corvi, 625
Gienah, 300
Girtab, 600
Gomeisa, 750
Gorgonea Tertia, 1250
Grumium, 500
Hadar, 1150
Haldus, 4000
Hamal, 150
Hassaleh, 1650
Head of Hydrus, 200
Heka, 2200
Heze, 250
Homam, 700
Hyadum, 500
Delta Tauri, 600
Hydrobius, 550
Jabbah, 1400
Gamma Ceti, 250
Omega Herculis, 750
Kastra, 2250
Kaus Australis, 650
Kaus Borealis, 325
Kaus Media, 1450
40 Eridani, 120
Kitalpha, 575
Kochab, 700
Beta Herculis, 450
Beta Corvi, 300
Delta Cassiopeiae, 300
Kullat Nunu, 900
Kuma, 350
La Superba, 3500
Lesath, 2000
Lucida Anseris, 950
Lambda Herculis, 1250
Mahasim, 700
Maia, 1500
Theta Cassiopeiae, 600
Marfik, 650
Alpha Pegasi, 600
Matar, 650
Epsilon Geminorum, 2400
Delta Ursae Majoris, 150
Meissa, 3250
Mekbuda, 3500
Menchib, 3750
Menkab, 1000
Menkent, 200
Menkib, 2250
Merak, 325
Merga, 600
Merope, 1450
Mesarthim, 650
Miaplacidus, 450
Minchir, 1400
Minelava, 800
Minkar, 1200
Mintaka, 3500
Mira, 1200
Mirach, 800
Miram, 2500
Mirfak, 1800
Mirzam, 2000
Misam, 450
Mizar, 320
Muliphein, 1750
Muphrid, 125
Muscida, 725
Pi Ursae Majoris, 200
Nair Al Saif, 4500
Naos, 3000
Nashira, 450
Navi, 2000
Helios, 2000
Nekkar, 900
Nembus, 720
Nihal, 650
Nunki, 900
Nusakan, 450
Okul, 1900
Phact, 750
Phad, 325
Pherkad, 1500
Delta Ursae Minoris, 650
Pleione, 1600
Polaris, 1750
Polaris Australis, 1000
Pollux, 150
Praecipua, 375
Procyon, 100
Propus, 1400
Epsilon Bootis, 750
Rana, 125
Ras Algethi, 1225
Ras Alhague, 250
Ras Elased Australis, 1000
Rasalas, 600
Regor, 1200
Regulus, 350
Rigel, 3200
Mu Virginis, 300
Rotanev, 400
Ruchba, 1200
Sabik, 325
Sadachbia, 450
Sadalbari, 400
Sadalmelik, 2000
Sadalsuud, 2200
Sadr, 4500
Saiph, 2600
Salm, 750
Sargas, 1200
Sarin, 300
Sarir, 200
Sceptrum, 425
Scheat, 800
Schedir, 900
Segin, 1650
Seginus, 350
Sham, 1725
Shaula, 2300
Sheliak, 2750
Sheratan, 240
Sinistra, 600
Sirius, 50
Situla, 850
Skat, 650
Spica, 1200
Sterope, 250
Sualocin, 750
Subra, 400
Suhail, 2250
Sulafat, 2500
Syrma, 275
Tabit, 125
Talitha Australis, 1400
Talitha Borealis, 300
Tania Australis, 850
Tania Borealis, 550
Tarazet, 1600
Taygeta, 1800
Tegmine, 250
Omega Sagittarii, 300
Tejat Posterior, 900
Tejat Prior, 1500
Thabit, 6000
